granularity,category,feature_set,reference,duplicate_of_A_lag1,block,point_pct,ci_lo_pct,ci_hi_pct,p_boot,ci_excludes_zero
daily,R03,A_lag1,XGBoost,False,7,-0.5225072065908165,-1.0648878835885423,0.028147617108211623,0.058,False
daily,R03,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,7,-0.5867445103589275,-1.0251562704007033,-0.1560685972146073,0.008,True
daily,R03,B_rich,Naive,True,7,-23.388508791323627,-28.38590535063312,-17.565062820316367,0.0005,True
daily,R03,B_rich,S1 [linear],True,7,0.7117797072782484,-0.3743658756976842,1.7905120070194702,0.196,False
daily,R03,B_rich,XGBoost,True,7,-0.5225072065908165,-1.0911984666419843,0.08009775968089143,0.093,False
daily,R03,B_rich,"LR-XGB (residual, tanpa gerbang)",True,7,-0.5867445103589275,-1.0304182787468086,-0.11917401853318679,0.005,True
daily,R06,A_lag1,Naive,False,7,-15.39734531739525,-20.030756807935397,-10.597710511093249,0.0005,True
daily,R06,A_lag1,S1 [linear],False,7,0.0,0.0,0.0,1.0,False
daily,R06,A_lag1,XGBoost,False,7,-0.08669454303729118,-1.6268977732428116,1.3653038702157294,0.874,False
daily,R06,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,7,0.07151667910045845,-1.4848672087782837,1.497288598603117,0.977,False
daily,R06,B_rich,Naive,True,7,-15.39734531739525,-20.168635919310354,-10.439300909527905,0.0005,True
daily,R06,B_rich,S1 [linear],True,7,0.0,0.0,0.0,1.0,False
daily,R06,B_rich,XGBoost,True,7,-0.08669454303729118,-1.6353073282013983,1.3291607787335722,0.819,False
daily,R06,B_rich,"LR-XGB (residual, tanpa gerbang)",True,7,0.07151667910045845,-1.4747748809340204,1.513287561347084,0.993,False
weekly,M01AB,A_lag1,Naive,False,4,-20.157111955240236,-29.93574546527929,-9.987639880556024,0.0005,True
weekly,M01AB,A_lag1,S1 [linear],False,4,0.0,0.0,0.0,1.0,False
weekly,M01AB,A_lag1,XGBoost,False,4,-1.8805982723273829,-8.015761651745338,4.147814298000147,0.532,False
weekly,M01AB,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,4,-2.1911210284844884,-8.97189351701517,4.067885647032082,0.465,False
weekly,M01AB,B_rich,Naive,False,4,-20.596352390554664,-31.87811288228247,-8.129855795626725,0.002,True
weekly,M01AB,B_rich,S1 [linear],False,4,0.0,0.0,0.0,1.0,False
weekly,M01AB,B_rich,XGBoost,False,4,-4.265262794751024,-10.40294758962171,0.9565639950949587,0.118,False
weekly,M01AB,B_rich,"LR-XGB (residual, tanpa gerbang)",False,4,-8.872406753028073,-16.139051672020997,-2.457458518131229,0.005,True
weekly,M01AE,A_lag1,Naive,False,4,-7.553973888887366,-23.737924635337496,15.084278637498858,0.445,False
weekly,M01AE,A_lag1,S1 [linear],False,4,-0.31534111134067233,-1.1547535387827572,0.9079257794267096,0.639,False
weekly,M01AE,A_lag1,XGBoost,False,4,-4.605362816761637,-8.634149792147598,-0.2553993472848616,0.04,True
weekly,M01AE,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,4,-0.5737620813683564,-5.335168454214724,2.60300600099576,0.691,False
weekly,M01AE,B_rich,Naive,True,4,-7.553973888887366,-23.81081914960863,17.047851725319884,0.46,False
weekly,M01AE,B_rich,S1 [linear],True,4,-0.31534111134067233,-1.2267950708276834,0.9604073045739425,0.613,False
weekly,M01AE,B_rich,XGBoost,True,4,-4.605362816761637,-8.646978838819592,-0.1530817899500311,0.043,True
weekly,M01AE,B_rich,"LR-XGB (residual, tanpa gerbang)",True,4,-0.5737620813683564,-5.248350332004577,2.7056933043766276,0.71,False
weekly,N02BA,A_lag1,Naive,False,4,9.779254533708404,-5.704809271675847,25.28152203130608,0.228,False
weekly,N02BA,A_lag1,S1 [linear],False,4,-0.24013819916594015,-2.723003117971596,2.707839369736523,0.856,False
weekly,N02BA,A_lag1,XGBoost,False,4,-4.357428397302399,-10.596660599470905,0.4784192987922716,0.096,False
weekly,N02BA,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,4,-0.5763282886049326,-10.884289512303962,8.328774683154709,0.982,False
weekly,N02BA,B_rich,Naive,True,4,9.779254533708404,-5.654546168792003,25.77917495744422,0.239,False
weekly,N02BA,B_rich,S1 [linear],True,4,-0.24013819916594015,-3.0021602842054467,2.900701594951475,0.866,False
weekly,N02BA,B_rich,XGBoost,True,4,-4.357428397302399,-10.101068070518703,0.5144649167567387,0.11,False
