model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s
LR,N02BE,B_rich,pacf_full,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,153.57083492845794,12.392370028709518,9.86939933741544,0.16846348047192283,0.4159820716048506,34.57583006066338,0.6084517399038339,205.6223851477789,14.339539223691217,11.141617867165255,0.2588274728647224,0.48649492568369396,40.123373437841536,0.62185815126519,0.012
LR-XGB (residual),N02BE,B_rich,pacf_full,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,158.85448822129626,12.603748974860467,10.007030300703148,0.13985420273004812,0.4230775546891851,34.80096516755009,0.6028069357074654,202.66922065488424,14.236194036851431,10.961514001742676,0.2694722496416859,0.48298875242337586,39.13963743583572,0.6044580812587246,5.707
LR,N05B,B_rich,pacf_full,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,22.121535572971776,4.703353651701281,3.4966883742269155,0.03819274004682072,0.5131464395559379,39.37344562383443,0.8682197354640178,19.658609097174086,4.433803006130751,3.492097883087328,-0.05180351489516477,0.5202530178203465,44.6846688968021,1.2961836959440327,0.016
LR-XGB (residual),N05B,B_rich,pacf_full,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,22.318606451802413,4.72425723810658,3.501918219919053,0.0296244288028108,0.5154270677485359,39.402252132106504,0.8753519513238462,19.893133880008307,4.460171956327279,3.500961943737221,-0.06435140115180316,0.5233470943721303,44.79178007004501,1.279937258995549,5.354
LR,N05C,B_rich,pacf_full,5,4,1471,315,316,2014-01-06,2018-01-15,2018-01-16,2018-11-26,2018-11-27,2019-10-08,{},1,none,42,1.6437424393165845,1.2820851919106564,0.8447393340315856,0.013784353965485163,2.019284177259284,166.6847631021867,0.6327010175711315,1.307779553292964,1.1435818961897586,0.8523678212335948,-0.0158901808180838,1.6060972408709497,157.24269011351566,0.6140738365023324,0.01
LR-XGB (residual),N05C,B_rich,pacf_full,5,4,1471,315,316,2014-01-06,2018-01-15,2018-01-16,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,1.7203309010206091,1.3116138536248423,0.8490767819898074,-0.03216733373908509,2.0657918194591267,168.33295242514598,0.6681654892096879,1.3046665405634432,1.1422200053244749,0.8425915299412985,-0.013471975810428916,1.6041845408112625,157.7861447787135,0.6206017458407412,6.892
LR,R03,B_rich,pacf_full,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,55.86248272495644,7.474120866359899,5.098668280401342,-0.05072559365971152,1.0759045232050122,89.90307176351305,1.534883973521318,68.69126047976773,8.288019092628089,5.640236283663765,-0.044864664075809024,1.1272547554680319,91.40346584251877,1.8249838135443173,0.02
LR-XGB (residual),R03,B_rich,pacf_full,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,55.43221215249403,7.445281200364029,5.0996326770201525,-0.042632571641503025,1.071753034669105,89.79618600545632,1.64275653844751,70.5873331035046,8.401626812915735,5.716989898731606,-0.07370587722617317,1.14270655903181,91.76611491024876,1.9813444919931829,5.476
LR,R06,B_rich,pacf_full,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,7.041915450053448,2.65366076393601,1.9937033643500504,0.0834609195354361,0.7549703221096851,67.28898489770721,1.5434353427329148,6.482149897726687,2.5460066570468127,1.8974653696979378,0.08977543175830482,0.7072426634803226,62.52055378314043,0.9984928028599571,0.01
LR-XGB (residual),R06,B_rich,pacf_full,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.276050515424541,2.6974155251693315,2.0329130599651872,0.05298711747947649,0.7674186149099887,68.13065585253656,1.5452658412131282,6.4827238175658985,2.546119364359397,1.9025153338894756,0.08969484183889631,0.7072739718901907,62.71719457330026,1.0084620575633103,5.369
