model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,note
LR,M01AE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},1,none,42,28.86272463150085,5.372403989975144,4.376200802707008,0.055148447407143864,0.1999710327245609,16.335850128153716,0.21311247015909435,85.1469526480301,9.227510641989534,7.280131693320726,0.18757177905207012,0.3486226352359398,27.577591718542614,0.6299231042993104,0.01,
GRNN,M01AE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""sigma"": 0.35}",16,standard,42,29.418038787738357,5.423839856387572,4.4800578564523965,0.03696965627094073,0.20188557290894923,16.65637475269364,0.20914962447966678,105.70474471640249,10.28128127795376,7.767399236593875,-0.008580049255453526,0.38843492159325926,29.098352360647933,0.6207529575529407,0.018,
P_NN,M01AE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""sigma"": 0.2}",16,standard,42,30.772898706728295,5.5473325758177054,4.368726822222223,-0.007383103710919325,0.2064822053819518,16.345300596304966,0.1871666542518847,112.77260803455593,10.619444808207062,7.704738739130433,-0.07601794859175337,0.40121100667531084,28.721322166806573,0.5630446854719454,0.026,
RBFNN,M01AE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""alpha"": 0.1, ""gamma"": 1.0, ""n_centers"": 5}",60,standard,42,28.611872680334226,5.349006700344862,4.443985278855574,0.06336034904002186,0.1991001413733048,16.566842543161368,0.20487497213224595,105.0795631837409,10.250832316633655,7.826632150419723,-0.00261489014460059,0.38728453580152605,29.29677025036579,0.6124035126867572,5.125,
XGBoost,M01AE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,30.955241784446137,5.563743504552141,4.351468146091037,-0.013352295541763537,0.20709305117335505,16.089591762024096,0.20013938521974428,92.9774933385195,9.642483774345669,7.492563684214715,0.11285680635619344,0.3643006477104847,28.167157822473772,0.6276418614819219,5.078,
LR+XGB (average),M01AE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,28.849530262967455,5.3711758733975055,4.322033015733122,0.055580378895020544,0.19992531990385815,16.086238800144624,0.2022182573761685,88.20323660361196,9.391657819768135,7.311972322043337,0.15841029693762465,0.35482424517213595,27.682787524940654,0.6275992471948887,4.352,
LR-XGB (residual),M01AE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,31.091485608815184,5.57597396055749,4.337567044984799,-0.01781237998042351,0.2075482918668408,16.053545188611565,0.20056520486717463,88.46075266961462,9.405357657719064,7.41667267008555,0.15595321171188692,0.35534183586306667,27.927405964225464,0.6256792169928912,4.292,
Naive,M01AE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,45.908203888888885,6.775559304506816,5.5056222222222235,-0.5028531878042071,0.2521991261150493,20.14832613520521,0.2609274473557304,99.00320602173912,9.950035478416101,7.71463043478261,0.05536256982834331,0.37592019383774017,30.265748716527487,0.717837483642111,0.0,
SeasonalNaive(s=52),M01AE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,57.89583167521637,7.608931046817047,5.9298259259999995,-0.8952807520908783,0.28321879780470843,22.669814585063577,0.28705822779927387,110.82956356521738,10.527562090304544,7.920347826086957,-0.05747842236850964,0.3977396050708463,29.493879602230432,0.6388227637679597,0.0,
LR,M01AE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},1,none,42,28.86272463150085,5.372403989975144,4.376200802707008,0.055148447407143864,0.1999710327245609,16.335850128153716,0.21311247015909435,85.1469526480301,9.227510641989534,7.280131693320726,0.18757177905207012,0.3486226352359398,27.577591718542614,0.6299231042993104,0.009,
GRNN,M01AE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""sigma"": 0.35}",16,standard,42,29.418038787738357,5.423839856387572,4.4800578564523965,0.03696965627094073,0.20188557290894923,16.65637475269364,0.20914962447966678,105.70474471640249,10.28128127795376,7.767399236593875,-0.008580049255453526,0.38843492159325926,29.098352360647933,0.6207529575529407,0.016,
P_NN,M01AE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""sigma"": 0.2}",16,standard,42,30.772898706728295,5.5473325758177054,4.368726822222223,-0.007383103710919325,0.2064822053819518,16.345300596304966,0.1871666542518847,112.77260803455593,10.619444808207062,7.704738739130433,-0.07601794859175337,0.40121100667531084,28.721322166806573,0.5630446854719454,0.025,
RBFNN,M01AE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""alpha"": 0.1, ""gamma"": 1.0, ""n_centers"": 5}",60,standard,42,28.611872680334226,5.349006700344862,4.443985278855574,0.06336034904002186,0.1991001413733048,16.566842543161368,0.20487497213224595,105.0795631837409,10.250832316633655,7.826632150419723,-0.00261489014460059,0.38728453580152605,29.29677025036579,0.6124035126867572,4.963,
XGBoost,M01AE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,30.955241784446137,5.563743504552141,4.351468146091037,-0.013352295541763537,0.20709305117335505,16.089591762024096,0.20013938521974428,92.9774933385195,9.642483774345669,7.492563684214715,0.11285680635619344,0.3643006477104847,28.167157822473772,0.6276418614819219,4.499,
LR+XGB (average),M01AE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,28.849530262967455,5.3711758733975055,4.322033015733122,0.055580378895020544,0.19992531990385815,16.086238800144624,0.2022182573761685,88.20323660361196,9.391657819768135,7.311972322043337,0.15841029693762465,0.35482424517213595,27.682787524940654,0.6275992471948887,4.451,
LR-XGB (residual),M01AE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,31.091485608815184,5.57597396055749,4.337567044984799,-0.01781237998042351,0.2075482918668408,16.053545188611565,0.20056520486717463,88.46075266961462,9.405357657719064,7.41667267008555,0.15595321171188692,0.35534183586306667,27.927405964225464,0.6256792169928912,4.322,
Naive,N02BA,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,49.194444444444436,7.01387513750027,5.391111111111111,-0.5938228589736254,0.31800945207809794,25.109810773395424,0.3725147465421816,38.93119565217392,6.2394868100007965,5.060869565217392,-0.3633468510784168,0.2954211242448012,25.279798597319925,0.73400085945753,0.0,
SeasonalNaive(s=52),N02BA,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,65.91587345219507,8.118859122573507,6.734814814666667,-1.1355709382177106,0.368109481628018,30.532345050571653,0.437846578175141,51.941793478260884,7.207065524765325,5.744565217391305,-0.8189700930492263,0.3412330957122175,27.667323161502104,0.8050507911847538,0.0,
LR,N02BA,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},1,none,42,55.76310318721868,7.467469664298522,6.280953746808672,-0.806637102030147,0.33857545077424034,27.31280964135922,0.47435270586959954,47.144018591691996,6.866150201655364,5.402531053338721,-0.6509549274676998,0.325091770136531,25.549350364411723,0.9667978071238208,0.011,
GRNN,N02BA,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""sigma"": 0.5}",16,standard,42,65.35102454081611,8.08399805423134,6.894950045188434,-1.1172707192196318,0.36652887903315906,29.525737796782597,0.508825525493907,51.61069339179868,7.184058281486772,5.746220526436489,-0.8073751689091342,0.3401437712401745,26.915091369599946,1.0044788165164453,0.026,
P_NN,N02BA,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""sigma"": 0.75}",16,standard,42,36.06838004418403,6.005695633661769,5.1520325,-0.16855895517813213,0.2722985425841608,23.220241153380343,0.36501400848410837,39.21585748425951,6.262256580838852,4.765804347826087,-0.37331553572564613,0.29649920510379,23.048364243717952,0.911049224151806,0.026,
RBFNN,N02BA,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""alpha"": 0.01, ""gamma"": 1.0, ""n_centers"": 5}",60,standard,42,55.929974518037156,7.478634535664726,6.247158233476676,-0.8120434714803841,0.33908166660444605,27.149869243270615,0.4764621555614791,46.00535120573704,6.782724467773775,5.425266062247233,-0.6110794864733595,0.3211418100124478,25.72504963356661,0.9219435992739047,5.291,
XGBoost,N02BA,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,67.6721896799193,8.226310818338881,6.81726533677843,-1.1924728299444163,0.3729813469272037,28.900227202,0.5011228948549035,51.29036438218966,7.161729147502694,5.5211410356604524,-0.7961574413453227,0.3390865532243569,25.80424506409592,0.9476206007750516,4.793,
