varian,S1,w,RMSE asli,RMSE log
V2_customers_lagged,struct_linear,0.3,1130.6571919426767,0.14610285206057064
V2_customers_lagged,struct_linear,0.35,1117.7141556076078,0.14420906961415486
V2_customers_lagged,struct_linear,0.4,1105.6442109702537,0.14244680094430684
V2_customers_lagged,struct_linear,0.45,1094.4910131154036,0.140820985665462
V2_customers_lagged,struct_linear,0.5,1084.2991402165858,0.13933639837334755
V2_customers_lagged,struct_linear,0.55,1075.1138293401273,0.13799759820655996
V2_customers_lagged,struct_linear,0.6,1066.9805979088032,0.13680886524137945
V2_customers_lagged,struct_linear,0.65,1059.9448669573178,0.1357741422687395
V2_customers_lagged,struct_linear,0.7,1054.0515079589434,0.13489697081295648
V2_customers_lagged,struct_linear,0.75,1049.344447279151,0.13418044220417455
V2_customers_lagged,struct_linear,0.8,1045.8661692923995,0.13362714054146377
V2_customers_lagged,struct_linear,0.85,1043.6572643970223,0.13323909941447265
V2_customers_lagged,struct_linear,0.9,1042.7559779600094,0.13301776524503883
V2_customers_lagged,struct_linear,0.95,1043.1977833785163,0.13296397004849217
V2_customers_lagged,struct_linear,1.0,1045.0150026335868,0.1330779173276893
V3_sales_lagged,linear,0.0,2049.0594271095815,0.24494942929912222
V3_sales_lagged,linear,0.05,1975.0844869365744,0.2364372117984249
V3_sales_lagged,linear,0.1,1902.9938281516686,0.22806299809623468
V3_sales_lagged,linear,0.15,1832.798367514243,0.219842558669785
V3_sales_lagged,linear,0.2,1764.5272184210355,0.21179380151848226
V3_sales_lagged,linear,0.25,1698.2295667927847,0.2039370538193649
V3_sales_lagged,linear,0.3,1633.976897810024,0.1962953700248101
V3_sales_lagged,linear,0.35,1571.8655834635665,0.18889485999828454
V3_sales_lagged,linear,0.4,1512.0194174384026,0.18176497491720817
V3_sales_lagged,linear,0.45,1454.5927886793515,0.1749388160984502
V3_sales_lagged,linear,0.5,1399.77331141956,0.16845330201696337
V3_sales_lagged,linear,0.55,1347.78474407012,0.1623492666656584
V3_sales_lagged,linear,0.6,1298.8889204103734,0.1566713045874602
V3_sales_lagged,linear,0.65,1253.3867812630942,0.1514673451014086
V3_sales_lagged,linear,0.7,1211.6172855786126,0.14678779703319347
V3_sales_lagged,linear,0.75,1173.9542542249478,0.14268427395121236
V3_sales_lagged,linear,0.8,1140.7991063843774,0.1392077242419215
V3_sales_lagged,linear,0.85,1112.569663841053,0.13640609544171367
V3_sales_lagged,linear,0.9,1089.6842492364124,0.13432162756563237
V3_sales_lagged,linear,0.95,1072.5414541045316,0.13298804250864796
V3_sales_lagged,linear,1.0,1061.4973104562596,0.13242803003981604
V3_sales_lagged,structural,0.0,1240.6364163535145,0.1607401521589509
V3_sales_lagged,structural,0.05,1218.2198267247343,0.15753921608035515
V3_sales_lagged,structural,0.1,1196.4812297853305,0.15446785416754275
V3_sales_lagged,structural,0.15,1175.482223611598,0.15153394523948047
V3_sales_lagged,structural,0.2,1155.28984492388,0.1487456236307374
V3_sales_lagged,structural,0.25,1135.9766120836728,0.14611122415297084
V3_sales_lagged,structural,0.3,1117.6205002835611,0.14363921524392317
V3_sales_lagged,structural,0.35,1100.304829895683,0.14133811998288914
V3_sales_lagged,structural,0.4,1084.1179385374073,0.1392164109400466
V3_sales_lagged,structural,0.45,1069.1528277006928,0.13728240820712265
V3_sales_lagged,structural,0.5,1055.5064764377048,0.1355441444644306
V3_sales_lagged,structural,0.55,1043.2790952244968,0.13400923810622453
V3_sales_lagged,structural,0.6,1032.5730670301436,0.13268474669250305
V3_sales_lagged,structural,0.65,1023.491733166992,0.13157702585227068
V3_sales_lagged,structural,0.7,1016.137920066079,0.13069158494435498
