model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,granularity,n_folds,stage1,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,augment_stage1,segment_scheme,n_segments,gate_w_map,gate_w_min,gate_w_max,val_oof_RMSE
XGBoost,M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.010450250705011,2.002610858530686,1.5898411670036803,-0.0026297526512994995,0.518280910206755,43.88304419006916,9.239336590892151,5.001747363845778,2.236458665803099,1.7271177625595389,0.097811052991016,0.5828413198620376,49.83094658199001,3.8900566352934076,7.493,daily,5,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.063296167159062,2.0157619321633846,1.5908391756024796,-0.01584145827802863,0.5216844423425749,43.83183715189777,8.815935401384824,4.79214177134234,2.189096108292722,1.6817489540488528,0.13561861003693432,0.570498209768618,48.93723108997458,3.8874946723935984,7.912,daily,5,,,,,,,,,,,,,
Naive,N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,8.334103174603174,2.886884683288055,2.2893650793650795,-0.9287620753697006,0.9162404788269394,82.69963604275131,2.342371831447952,7.760276025236593,2.7857271986389107,2.1345425867507886,-1.0094483557731615,0.9089347145988727,77.96042411378919,4.514916652855951,0.0,daily,5,,,,,,,,,,,,,
SeasonalNaive(s=7),N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,7.847873015873016,2.801405542914666,2.1787301587301586,-0.8162337960321493,0.8891110791114557,79.36972426456744,2.511528605299084,7.255528391167193,2.693608804404825,2.1228706624605675,-0.8787488419848966,0.8788780721489677,78.63586500450135,5.112774483243222,0.0,daily,5,,,,,,,,,,,,,
S1 [linear],N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,5.2531433805716725,2.2919736867101403,1.905808851129704,-0.21573533668287714,0.7274274169407499,62.32415222541202,3.320251974157873,4.645671054039993,2.155381881254455,1.7629831366345512,-0.20295154845590968,0.7032639147317814,59.40873592073984,4.295684500120711,0.008,daily,5,linear,0.0,2.2919736867101403,0.0,,2.155381881254455,,,,,,,
AR-LRX [linear],N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",132,none,42,5.2414501862490726,2.289421364941166,1.9018845766290449,-0.2130291799102939,0.7266173601576498,62.28179859555445,3.2743620167984853,4.636144247280441,2.153170742714205,1.7570533572164695,-0.20048467406684245,0.7025424583813524,59.25028993881099,4.275767822254344,7.842,daily,5,linear,0.1,2.2919736867101403,0.1114,-0.36199191420233134,2.155381881254455,,,,,,,
AR-LRX-g [linear],N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,5.2531433805716725,2.2919736867101403,1.905808851129704,-0.21573533668287714,0.7274274169407499,62.32415222541202,3.320251974157873,4.645671054039993,2.155381881254455,1.7629831366345512,-0.20295154845590968,0.7032639147317814,59.40873592073984,4.295684500120711,5.864,daily,5,linear,0.0,2.2919736867101403,0.0,-0.2319837858991396,2.155381881254455,False,global,1.0,"{""0"": 0.0}",0.0,0.0,2.2976527406095744
AR-LRX-Aug [linear],N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,5.2531433805716725,2.2919736867101403,1.905808851129704,-0.21573533668287714,0.7274274169407499,62.32415222541202,3.320251974157873,4.645671054039993,2.155381881254455,1.7629831366345512,-0.20295154845590968,0.7032639147317814,59.40873592073984,4.295684500120711,5.047,daily,5,linear,0.0,2.2919736867101403,0.0,-0.2319837858991396,2.155381881254455,True,global,1.0,"{""0"": 0.0}",0.0,0.0,2.2976527406095744
XGBoost,N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,5.331220175999178,2.3089435194476233,1.9189018702128577,-0.2338046548604915,0.732813308439296,62.54711440172541,3.317541156670962,4.67996274712004,2.163322155186333,1.7687966103057378,-0.21183105042881523,0.7058546890989322,59.417350130956606,4.196046041834413,4.638,daily,5,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,5.333321156054457,2.3093984402987844,1.9195163597968696,-0.23429088482031224,0.7329576913794631,62.55887301354617,3.3215966000967594,4.679212141682377,2.16314866379599,1.7681598041443223,-0.2116366884167371,0.7057980818520188,59.397783423409365,4.205068020253378,4.807,daily,5,,,,,,,,,,,,,
Naive,N02BA,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,8.334103174603174,2.886884683288055,2.2893650793650795,-0.9287620753697006,0.9162404788269394,82.69963604275131,2.342371831447952,7.760276025236593,2.7857271986389107,2.1345425867507886,-1.0094483557731615,0.9089347145988727,77.96042411378919,4.514916652855951,0.0,daily,5,,,,,,,,,,,,,
SeasonalNaive(s=7),N02BA,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,7.847873015873016,2.801405542914666,2.1787301587301586,-0.8162337960321493,0.8891110791114557,79.36972426456744,2.511528605299084,7.255528391167193,2.693608804404825,2.1228706624605675,-0.8787488419848966,0.8788780721489677,78.63586500450135,5.112774483243222,0.0,daily,5,,,,,,,,,,,,,
S1 [linear],N02BA,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,5.2531433805716725,2.2919736867101403,1.905808851129704,-0.21573533668287714,0.7274274169407499,62.32415222541202,3.320251974157873,4.645671054039993,2.155381881254455,1.7629831366345512,-0.20295154845590968,0.7032639147317814,59.40873592073984,4.295684500120711,0.011,daily,5,linear,0.0,2.2919736867101403,0.0,,2.155381881254455,,,,,,,
AR-LRX [linear],N02BA,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",132,none,42,5.2414501862490726,2.289421364941166,1.9018845766290449,-0.2130291799102939,0.7266173601576498,62.28179859555445,3.2743620167984853,4.636144247280441,2.153170742714205,1.7570533572164695,-0.20048467406684245,0.7025424583813524,59.25028993881099,4.275767822254344,5.924,daily,5,linear,0.1,2.2919736867101403,0.1114,-0.36199191420233134,2.155381881254455,,,,,,,
