model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,granularity,n_folds,stage1,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,augment_stage1,segment_scheme,n_segments,gate_w_map,gate_w_min,gate_w_max,val_oof_RMSE
S1 [linear],N05C,B_rich,pacf_train,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,{},0,none,42,1.6328380334848944,1.2778255097957993,0.8435138580167302,0.02268406858896721,2.006186050379405,166.4662038517874,0.6325619685318218,1.3157798107060052,1.1470744573505267,0.8571858049201146,-0.02210482374430267,1.611002348990073,157.0940017377655,0.6141574023080745,0.011,daily,5,linear,0.0,1.2778255097957993,0.0,,1.1470744573505267,,,,,,,
AR-LRX [linear],N05C,B_rich,pacf_train,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,1.6116055158882676,1.269490258288053,0.8349393553529704,0.03539254137414649,1.9930997055122432,166.76581962582947,0.6401076250842171,1.3484712236089866,1.1612369368948727,0.8603203434719953,-0.047499688866321055,1.630892764705688,157.39175911306256,0.6200903408935473,5.745,daily,5,linear,0.5,1.2778255097957993,0.6523,-0.008575872121477923,1.1470744573505267,,,,,,,
AR-LRX-g [linear],N05C,B_rich,pacf_train,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,1.6116055158882676,1.269490258288053,0.8349393553529704,0.03539254137414649,1.9930997055122432,166.76581962582947,0.6401076250842171,1.3484712236089866,1.1612369368948727,0.8603203434719953,-0.047499688866321055,1.630892764705688,157.39175911306256,0.6200903408935473,5.863,daily,5,linear,0.5,1.2778255097957993,0.6523,-0.008575872121477923,1.1470744573505267,False,global,1.0,"{""0"": 0.5}",0.5,0.5,1.2766656772223035
AR-LRX-Aug [linear],N05C,B_rich,pacf_train,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,1.6328380334848944,1.2778255097957993,0.8435138580167302,0.02268406858896721,2.006186050379405,166.4662038517874,0.6325619685318218,1.3157798107060052,1.1470744573505267,0.8571858049201146,-0.02210482374430267,1.611002348990073,157.0940017377655,0.6141574023080745,5.884,daily,5,linear,0.0,1.2778255097957993,0.0,-0.04645309544063303,1.1470744573505267,True,global,1.0,"{""0"": 0.0}",0.0,0.0,1.278363375522175
XGBoost,N05C,B_rich,pacf_train,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,1.663909800270813,1.2899262770681172,0.8327761454400933,0.0040864293410892705,2.0251842549969443,168.11172452527413,0.6612747647804266,1.3453687688798135,1.1599003271315227,0.8549156139923048,-0.04508968537004088,1.6290155705491607,158.16710874820487,0.6295910645002329,5.68,daily,5,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",N05C,B_rich,pacf_train,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,1.6421197038335154,1.281452185543228,0.8411689451717003,0.017128634359858452,2.011879931302868,168.17285953585875,0.6702855255126992,1.4270949294255526,1.1946107857480412,0.8727272986649869,-0.10857500581668966,1.677764481317249,158.93397025986246,0.6469173243162316,5.789,daily,5,,,,,,,,,,,,,
Naive,R03,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,93.93055555555556,9.69177772937223,6.792063492063492,-0.7667535335805216,1.395137660117561,112.86347600867599,3.275596500445437,118.7064164918472,10.895247426830068,7.588590956908518,-0.8056465862630271,1.4818642834473201,116.8205138789049,4.156248040245456,0.0,daily,5,,,,,,,,,,,,,
SeasonalNaive(s=7),R03,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,90.34960317460317,9.505240826754637,6.712698412698413,-0.699398877417658,1.3682855525774982,110.89724197734942,3.147523277675398,118.44248378881878,10.883128400823853,7.757097791798107,-0.8016318986133568,1.4802159728504856,117.31593920483728,2.6596602356187984,0.0,daily,5,,,,,,,,,,,,,
S1 [linear],R03,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,55.86248272495644,7.474120866359899,5.098668280401342,-0.05072559365971152,1.0759045232050122,89.90307176351305,1.534883973521318,68.69126047976773,8.288019092628089,5.640236283663765,-0.044864664075809024,1.1272547554680319,91.40346584251877,1.8249838135443173,0.009,daily,5,linear,0.0,7.474120866359899,0.0,,8.288019092628089,,,,,,,
AR-LRX [linear],R03,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,55.242059293573185,7.432500204747605,5.071633545779738,-0.03905595875518686,1.069913202100078,89.52806026660497,1.5850781522086872,69.50032467476721,8.336685472942301,5.670645253006315,-0.0571713619354719,1.1338738773628412,91.38237379346592,1.9083067618817275,5.415,daily,5,linear,0.6,7.474120866359899,0.5569,-0.056534041481188124,8.288019092628089,,,,,,,
AR-LRX-g [linear],R03,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",132,none,42,55.2516245971553,7.433143655086675,5.077999088178861,-0.03923587394682504,1.0700058271917297,89.51971341846992,1.6164895477196888,69.23723217680697,8.32089130903697,5.6661547255556055,-0.05316945466834477,1.1317257106933456,91.38528313836845,1.8987651645867272,5.871,daily,5,linear,0.5,7.474120866359899,0.5483,-0.06861318745084355,8.288019092628089,False,global,1.0,"{""0"": 0.5}",0.5,0.5,7.443164453588984
AR-LRX-Aug [linear],R03,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",132,none,42,55.2516245971553,7.433143655086675,5.077999088178861,-0.03923587394682504,1.0700058271917297,89.51971341846992,1.6164895477196888,69.23723217680697,8.32089130903697,5.6661547255556055,-0.05316945466834477,1.1317257106933456,91.38528313836845,1.8987651645867272,6.069,daily,5,linear,0.5,7.474120866359899,0.5483,-0.06861318745084355,8.288019092628089,True,global,1.0,"{""0"": 0.5}",0.5,0.5,7.443164453588984
XGBoost,R03,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,55.429034906935684,7.445067824199836,5.09006395718408,-0.042572810365908875,1.0717223190325367,89.70085900163357,1.6289123815332394,70.40643659736021,8.39085434251842,5.703273836379986,-0.07095425546519651,1.141241393671089,91.59110417243099,1.9652206403236616,5.673,daily,5,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",R03,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,55.43221215249403,7.445281200364029,5.0996326770201525,-0.042632571641503025,1.071753034669105,89.79618600545632,1.64275653844751,70.5873331035046,8.401626812915735,5.716989898731606,-0.07370587722617317,1.14270655903181,91.76611491024876,1.9813444919931829,6.079,daily,5,,,,,,,,,,,,,
Naive,R03,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,93.93055555555556,9.69177772937223,6.792063492063492,-0.7667535335805216,1.395137660117561,112.86347600867599,3.275596500445437,118.7064164918472,10.895247426830068,7.588590956908518,-0.8056465862630271,1.4818642834473201,116.8205138789049,4.156248040245456,0.0,daily,5,,,,,,,,,,,,,
SeasonalNaive(s=7),R03,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,90.34960317460317,9.505240826754637,6.712698412698413,-0.699398877417658,1.3682855525774982,110.89724197734942,3.147523277675398,118.44248378881878,10.883128400823853,7.757097791798107,-0.8016318986133568,1.4802159728504856,117.31593920483728,2.6596602356187984,0.0,daily,5,,,,,,,,,,,,,
S1 [linear],R03,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,55.86248272495644,7.474120866359899,5.098668280401342,-0.05072559365971152,1.0759045232050122,89.90307176351305,1.534883973521318,68.69126047976773,8.288019092628089,5.640236283663765,-0.044864664075809024,1.1272547554680319,91.40346584251877,1.8249838135443173,0.009,daily,5,linear,0.0,7.474120866359899,0.0,,8.288019092628089,,,,,,,
AR-LRX [linear],R03,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,55.242059293573185,7.432500204747605,5.071633545779738,-0.03905595875518686,1.069913202100078,89.52806026660497,1.5850781522086872,69.50032467476721,8.336685472942301,5.670645253006315,-0.0571713619354719,1.1338738773628412,91.38237379346592,1.9083067618817275,5.425,daily,5,linear,0.6,7.474120866359899,0.5569,-0.056534041481188124,8.288019092628089,,,,,,,
AR-LRX-g [linear],R03,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",132,none,42,55.2516245971553,7.433143655086675,5.077999088178861,-0.03923587394682504,1.0700058271917297,89.51971341846992,1.6164895477196888,69.23723217680697,8.32089130903697,5.6661547255556055,-0.05316945466834477,1.1317257106933456,91.38528313836845,1.8987651645867272,6.171,daily,5,linear,0.5,7.474120866359899,0.5483,-0.06861318745084355,8.288019092628089,False,global,1.0,"{""0"": 0.5}",0.5,0.5,7.443164453588984
AR-LRX-Aug [linear],R03,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",132,none,42,55.2516245971553,7.433143655086675,5.077999088178861,-0.03923587394682504,1.0700058271917297,89.51971341846992,1.6164895477196888,69.23723217680697,8.32089130903697,5.6661547255556055,-0.05316945466834477,1.1317257106933456,91.38528313836845,1.8987651645867272,11.11,daily,5,linear,0.5,7.474120866359899,0.5483,-0.06861318745084355,8.288019092628089,True,global,1.0,"{""0"": 0.5}",0.5,0.5,7.443164453588984
XGBoost,R03,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,55.429034906935684,7.445067824199836,5.09006395718408,-0.042572810365908875,1.0717223190325367,89.70085900163357,1.6289123815332394,70.40643659736021,8.39085434251842,5.703273836379986,-0.07095425546519651,1.141241393671089,91.59110417243099,1.9652206403236616,6.181,daily,5,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",R03,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,55.43221215249403,7.445281200364029,5.0996326770201525,-0.042632571641503025,1.071753034669105,89.79618600545632,1.64275653844751,70.5873331035046,8.401626812915735,5.716989898731606,-0.07370587722617317,1.14270655903181,91.76611491024876,1.9813444919931829,6.527,daily,5,,,,,,,,,,,,,
Naive,R06,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,9.688604444444444,3.112652316665715,2.3900952380952383,-0.26101835096991954,0.8855540821438769,82.50612949788051,1.5085810249979021,9.05630599369085,3.0093697004008746,2.3206940063091483,-0.2716879959630176,0.8359580036515833,78.61483989833405,1.431620528497761,0.0,daily,5,,,,,,,,,,,,,
SeasonalNaive(s=7),R06,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,9.546223492063493,3.089696343018759,2.336063492063492,-0.24248678692367487,0.8790230744679456,83.76773845957486,1.4661327819832108,10.220126498422713,3.1968932572769324,2.403753943217666,-0.43511186507192323,0.8880492499424167,79.71016355745981,1.3420733814878152,0.0,daily,5,,,,,,,,,,,,,
S1 [linear],R06,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,7.041915450053448,2.65366076393601,1.9937033643500504,0.0834609195354361,0.7549703221096851,67.28898489770721,1.5434353427329148,6.482149897726687,2.5460066570468127,1.8974653696979378,0.08977543175830482,0.7072426634803226,62.52055378314043,0.9984928028599571,0.009,daily,5,linear,0.0,2.65366076393601,0.0,,2.5460066570468127,,,,,,,
AR-LRX [linear],R06,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,7.041915450053448,2.65366076393601,1.9937033643500504,0.0834609195354361,0.7549703221096851,67.28898489770721,1.5434353427329148,6.482149897726687,2.5460066570468127,1.8974653696979378,0.08977543175830482,0.7072426634803226,62.52055378314043,0.9984928028599571,6.105,daily,5,linear,0.0,2.65366076393601,0.0,-0.09276059337090281,2.5460066570468127,,,,,,,
AR-LRX-g [linear],R06,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,7.041915450053448,2.65366076393601,1.9937033643500504,0.0834609195354361,0.7549703221096851,67.28898489770721,1.5434353427329148,6.482149897726687,2.5460066570468127,1.8974653696979378,0.08977543175830482,0.7072426634803226,62.52055378314043,0.9984928028599571,6.106,daily,5,linear,0.0,2.65366076393601,0.0,-0.09276059337090281,2.5460066570468127,False,global,1.0,"{""0"": 0.0}",0.0,0.0,2.65366076393601
AR-LRX-Aug [linear],R06,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,7.041915450053448,2.65366076393601,1.9937033643500504,0.0834609195354361,0.7549703221096851,67.28898489770721,1.5434353427329148,6.482149897726687,2.5460066570468127,1.8974653696979378,0.08977543175830482,0.7072426634803226,62.52055378314043,0.9984928028599571,16.611,daily,5,linear,0.0,2.65366076393601,0.0,-0.09276059337090281,2.5460066570468127,True,global,1.0,"{""0"": 0.0}",0.0,0.0,2.65366076393601
XGBoost,R06,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.228240714349805,2.688538769359632,2.0255604949224564,0.059209792464007927,0.7648931650544474,67.98405114229779,1.5384278643908864,6.4934038579783815,2.5482158185637225,1.9005164637700989,0.08819514878541335,0.7078563355895267,62.66185108888153,1.0122770332847484,7.538,daily,5,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",R06,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.276050515424541,2.6974155251693315,2.0329130599651872,0.05298711747947649,0.7674186149099887,68.13065585253656,1.5452658412131282,6.4827238175658985,2.546119364359397,1.9025153338894756,0.08969484183889631,0.7072739718901907,62.71719457330026,1.0084620575633103,6.784,daily,5,,,,,,,,,,,,,
Naive,R06,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,9.688604444444444,3.112652316665715,2.3900952380952383,-0.26101835096991954,0.8855540821438769,82.50612949788051,1.5085810249979021,9.05630599369085,3.0093697004008746,2.3206940063091483,-0.2716879959630176,0.8359580036515833,78.61483989833405,1.431620528497761,0.0,daily,5,,,,,,,,,,,,,
SeasonalNaive(s=7),R06,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,9.546223492063493,3.089696343018759,2.336063492063492,-0.24248678692367487,0.8790230744679456,83.76773845957486,1.4661327819832108,10.220126498422713,3.1968932572769324,2.403753943217666,-0.43511186507192323,0.8880492499424167,79.71016355745981,1.3420733814878152,0.0,daily,5,,,,,,,,,,,,,
S1 [linear],R06,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,7.041915450053448,2.65366076393601,1.9937033643500504,0.0834609195354361,0.7549703221096851,67.28898489770721,1.5434353427329148,6.482149897726687,2.5460066570468127,1.8974653696979378,0.08977543175830482,0.7072426634803226,62.52055378314043,0.9984928028599571,0.008,daily,5,linear,0.0,2.65366076393601,0.0,,2.5460066570468127,,,,,,,
AR-LRX [linear],R06,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,7.041915450053448,2.65366076393601,1.9937033643500504,0.0834609195354361,0.7549703221096851,67.28898489770721,1.5434353427329148,6.482149897726687,2.5460066570468127,1.8974653696979378,0.08977543175830482,0.7072426634803226,62.52055378314043,0.9984928028599571,6.251,daily,5,linear,0.0,2.65366076393601,0.0,-0.09276059337090281,2.5460066570468127,,,,,,,
AR-LRX-g [linear],R06,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,7.041915450053448,2.65366076393601,1.9937033643500504,0.0834609195354361,0.7549703221096851,67.28898489770721,1.5434353427329148,6.482149897726687,2.5460066570468127,1.8974653696979378,0.08977543175830482,0.7072426634803226,62.52055378314043,0.9984928028599571,6.136,daily,5,linear,0.0,2.65366076393601,0.0,-0.09276059337090281,2.5460066570468127,False,global,1.0,"{""0"": 0.0}",0.0,0.0,2.65366076393601
AR-LRX-Aug [linear],R06,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,7.041915450053448,2.65366076393601,1.9937033643500504,0.0834609195354361,0.7549703221096851,67.28898489770721,1.5434353427329148,6.482149897726687,2.5460066570468127,1.8974653696979378,0.08977543175830482,0.7072426634803226,62.52055378314043,0.9984928028599571,6.202,daily,5,linear,0.0,2.65366076393601,0.0,-0.09276059337090281,2.5460066570468127,True,global,1.0,"{""0"": 0.0}",0.0,0.0,2.65366076393601
XGBoost,R06,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.228240714349805,2.688538769359632,2.0255604949224564,0.059209792464007927,0.7648931650544474,67.98405114229779,1.5384278643908864,6.4934038579783815,2.5482158185637225,1.9005164637700989,0.08819514878541335,0.7078563355895267,62.66185108888153,1.0122770332847484,6.254,daily,5,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",R06,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.276050515424541,2.6974155251693315,2.0329130599651872,0.05298711747947649,0.7674186149099887,68.13065585253656,1.5452658412131282,6.4827238175658985,2.546119364359397,1.9025153338894756,0.08969484183889631,0.7072739718901907,62.71719457330026,1.0084620575633103,6.014,daily,5,,,,,,,,,,,,,
Naive,M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,{},0,none,42,116.87771555555555,10.810999748198848,8.296888888888889,-1.3783796475988885,0.3138819099371895,23.32963922164917,0.31766608233445126,119.25805777777776,10.92053376798853,8.319555555555553,-0.6164832561297386,0.2969670352242758,22.935915307261524,0.6606806987698898,0.0,weekly,2,,,,,,,,,,,,,
SeasonalNaive(s=52),M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,{},0,none,42,129.6039682534853,11.384373863040746,8.50768518511111,-1.6373499762289798,0.33052900701117705,24.06189369717972,0.38650617731179043,115.75853111111113,10.759113862726387,9.071777777777777,-0.5690489245092532,0.29257747041816734,26.511852462194813,0.5543948566692719,0.0,weekly,2,,,,,,,,,,,,,
S1 [linear],M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,{},0,none,42,58.25809865115139,7.6326993030743315,6.062764552912976,-0.18551150218062729,0.22160450384104116,17.337583988198872,0.2288240041505057,76.0256622599075,8.71926959440454,6.422269794233635,-0.03048978299070426,0.23710705866426016,18.51808775832242,0.5814653539143978,0.008,weekly,2,linear,0.0,7.6326993030743315,0.0,,8.71926959440454,,,,,,,
AR-LRX [linear],M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,58.1122272586999,7.623137625590916,6.019306357749835,-0.18254312151606333,0.2213268942156041,17.22003240403843,0.22685976887578024,75.57546214737113,8.693414872613127,6.415477306688909,-0.024387545897602836,0.23640397947050765,18.502421858865656,0.5810518295677354,7.065,weekly,2,linear,0.1,7.6326993030743315,0.1253,-0.12274770637033927,8.71926959440454,,,,,,,
AR-LRX-g [linear],M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",132,none,42,58.25809865115139,7.6326993030743315,6.062764552912976,-0.18551150218062729,0.22160450384104116,17.337583988198872,0.2288240041505057,76.0256622599075,8.71926959440454,6.422269794233635,-0.03048978299070426,0.23710705866426016,18.51808775832242,0.5814653539143978,5.986,weekly,2,linear,0.0,7.6326993030743315,0.0,-0.6212543321804382,8.71926959440454,False,global,1.0,"{""0"": 0.0}",0.0,0.0,7.6326993030743315
AR-LRX-Aug [linear],M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",132,none,42,58.25809865115139,7.6326993030743315,6.062764552912976,-0.18551150218062729,0.22160450384104116,17.337583988198872,0.2288240041505057,76.0256622599075,8.71926959440454,6.422269794233635,-0.03048978299070426,0.23710705866426016,18.51808775832242,0.5814653539143978,5.822,weekly,2,linear,0.0,7.6326993030743315,0.0,-0.6212543321804382,8.71926959440454,True,global,1.0,"{""0"": 0.0}",0.0,0.0,7.6326993030743315
XGBoost,M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,65.97469678301235,8.12248094999381,6.179791573418511,-0.34253886927349275,0.2358246132081587,17.68829609227071,0.23085327339395617,78.96787195279003,8.886386889663877,6.5979072367350255,-0.07036996210136426,0.24165155518450726,19.058644348776905,0.5765826234359173,6.11,weekly,2,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,65.17961498245822,8.073389311959273,6.111614973242644,-0.3263595115265885,0.234399307735296,17.48179660843322,0.2268285137362533,78.15783591959223,8.840692049811047,6.637830139509686,-0.059390329287236865,0.24040895464826603,19.160123355101774,0.5818005915964,6.337,weekly,2,,,,,,,,,,,,,
