model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,note
LR+XGB (average),M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.070960626046883,2.017662168463017,1.6137753656692615,-0.01775760585211983,0.5221762284500886,44.37995340135787,9.276633770356302,5.34045675096216,2.3109428272811425,1.7575281233705604,0.03671643083688336,0.6022525648130328,50.19314649611242,3.7030280909452777,5.185,
LR-XGB (residual),M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.140244201675784,2.0347590033406373,1.6268042866953591,-0.035078796729226536,0.5266009338811423,44.644810842945375,9.579315412466345,5.302345458345615,2.3026822313001887,1.7609304169235407,0.04359074584195688,0.6000997789207627,50.36678169038535,3.5814321231987667,5.173,
Naive,M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},0,none,42,8.063918044871794,2.8397038657000477,2.218602564102564,-1.0160140755539473,0.7349227624344821,60.37815381835404,19.092561696684115,8.127574394904459,2.850890105722151,2.2165859872611464,-0.4660092267111404,0.7429677004131198,66.51148449675807,2.7600257404290813,0.0,
SeasonalNaive(s=7),M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},0,none,42,7.688206141025641,2.7727614648623566,2.131211538461538,-0.9220844891801485,0.7175978946051728,58.50321369891426,11.658897336905703,8.206476410828024,2.864694819841727,2.2132579617834396,-0.4802411583711663,0.7465653335466087,66.23754139148446,6.085345931316496,0.0,
LR,M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},1,none,42,4.001935488421122,2.000483813586384,1.5815566832610755,-0.0005010255835395938,0.5177304254308,43.629559076413784,8.745514089424283,4.850956322761249,2.2024886657509155,1.6781726449236807,0.1250099498321069,0.573988431155052,48.66748692964677,3.912127464558648,0.019,
GRNN,M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""sigma"": 2.0}",16,standard,42,3.9751218161136546,1.993770753149332,1.5913780151853358,0.00620250742465156,0.5159930678913821,43.99937377608846,8.313669448337432,5.26340549185499,2.2942113006118223,1.7477869760040343,0.05061453269266458,0.5978921779047635,50.01150460542358,3.9317319465187177,5.851,
P_NN,M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""sigma"": 5.0}",16,standard,42,4.065200795771795,2.0162343107317153,1.5771760897435898,-0.016317623595012876,0.5218066951473641,43.88418733926929,7.599321927790604,5.569047818041401,2.3598830093971612,1.776166687898089,-0.004515626502636483,0.6150068181220453,51.10932630372641,3.6551317403261647,6.148,
RBFNN,M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""alpha"": 0.01, ""gamma"": 0.01, ""n_centers"": 20}",60,standard,42,3.9221858662723568,1.9804509249845998,1.574323140331279,0.01943672178410205,0.5125458616427953,43.54865324647456,8.42721993082041,5.118874691284602,2.262493025687505,1.714477312726786,0.07668424019518538,0.5896261090954847,49.383440251965844,3.8622253819414425,12.304,
XGBoost,M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.010450250705011,2.002610858530686,1.5898411670036803,-0.0026297526512994995,0.518280910206755,43.88304419006916,9.239336590892151,5.001747363845778,2.236458665803099,1.7271177625595389,0.097811052991016,0.5828413198620376,49.83094658199001,3.8900566352934076,8.526,
LR+XGB (average),M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,3.9858708569086603,1.9964645894452173,1.5826375002599782,0.0035152011523343907,0.5166902397465292,43.689633959795934,8.985459688430621,4.888328746576954,2.2109565229956365,1.6979429497408676,0.11826890810473356,0.5761952312038892,49.14389248063027,3.899828230638259,8.545,
