scale,reference,reference_type,rmse_proposed,rmse_reference,rel_diff_pct,n_obs,n_dates,n_stores,obs_DM,obs_p,dateDM_NW4,dateDM_NW4_p,dateDM_NW7,dateDM_NW7_p,nw_lag_rule,date_mbb7_ci_lo_pct,date_mbb7_ci_hi_pct,date_mbb7_p_boot,date_mbb14_ci_lo_pct,date_mbb14_ci_hi_pct,date_mbb14_p_boot,store_cb_ci_lo_pct,store_cb_ci_hi_pct,store_cb_p_boot,twoway_ci_lo_pct,twoway_ci_hi_pct,twoway_p_boot
orig,"LR-XGB (residual, tanpa gerbang)",internal,954.9045812855868,1061.4973154702634,-10.04173375016535,129333,141,1115,-16.36046181956089,0.0,-5.695744209152515,6.959461784382854e-08,-5.799090223342788,4.245760236083023e-08,4,-14.059647597569759,-6.330699390039062,0.0005,-13.323347230533496,-7.2551523130115445,0.0005,-14.377124181740202,-6.922251747890976,0.0005,-16.21159520757986,-5.132257546851566,0.0005
orig,S1 [structural],internal,954.9045812855868,1240.6364067475163,-23.031068885928573,129333,141,1115,-64.68896769117218,0.0,-3.954423662817368,0.00012133710631554255,-3.7554712254167018,0.00025296651472453825,4,-28.286746430611895,-18.08228762046521,0.0005,-27.96521691191087,-17.918925948897847,0.0005,-24.182229342090455,-21.96275123645957,0.0005,-28.405164293430655,-17.620354335869603,0.0005
orig,SeasonalNaive(store x dow x promo median),internal,954.9045812855868,1274.631691145988,-25.083882040697027,129333,141,1115,-67.94633092717045,0.0,-3.9343261966381315,0.00013084296453036147,-3.7365334061803743,0.00027091030423020236,4,-30.411038939009938,-19.841476797492906,0.0005,-30.07627913492066,-19.651592517393137,0.0005,-26.1668043650083,-24.022241712968956,0.0005,-30.464440558226183,-19.37566276761659,0.0005
orig,AR-LRX-Aug [struct_linear],internal,954.9045812855868,961.3417177746876,-0.6695992039127852,129333,141,1115,-3.5329718864253157,0.00041105928782925183,-1.4971014159536375,0.13661801488501613,-1.5809394916453587,0.11614851081399015,4,-1.481144967482643,0.12146887314067752,0.092,-1.3264921609964073,0.12551592414723867,0.085,-1.273800842580941,-0.01608941326112137,0.046,-1.7490398610930826,0.4549931802195041,0.249
log,MLP (Diamantini),retrained baseline,0.12150011725995463,0.1703142329911779,-28.661207506804075,129333,141,1115,-71.03757367115007,0.0,-9.86909747914338,9.176996458499082e-18,-12.439435283552658,2.1555961918570148e-24,4,-32.69096313050972,-24.622180623078865,0.0005,-32.436345494235674,-25.356203284987288,0.0005,-29.999209860943825,-27.31364230924423,0.0005,-32.952612758578745,-24.369052202651957,0.0005
log,CNN (Diamantini),retrained baseline,0.12150011725995463,0.17242958867489727,-29.536387464779168,129333,141,1115,-80.90985209053484,0.0,-10.07512407628841,2.728565612715209e-18,-12.369430615340224,3.268649601944874e-24,4,-33.921230638281756,-25.24667678263281,0.0005,-33.49075602141531,-26.026730168161755,0.0005,-30.832388303563356,-28.265527396376932,0.0005,-34.02357343059121,-25.055834812864912,0.0005
log,RNN (Diamantini),retrained baseline,0.12150011725995463,0.16809255799730718,-27.71832453052381,129333,141,1115,-72.79319981756792,0.0,-9.231246604981731,3.8130976093912024e-16,-11.743130940808257,1.360977154414327e-22,4,-31.830859995318157,-23.576419484686664,0.0005,-31.455486620153945,-24.4824591112313,0.0005,-28.932092398387958,-26.412070043383398,0.0005,-32.00082827992441,-23.380691325571718,0.0005
log,LSTM (Diamantini / Qureshi),retrained baseline,0.12150011725995463,0.16900664006633923,-28.109264102130616,129333,141,1115,-77.1716144635755,0.0,-9.333689166994482,2.1026853933529493e-16,-11.57316192770892,3.746520171689342e-22,4,-32.26535355282652,-23.954304377865512,0.0005,-31.921706442117095,-24.738305427021654,0.0005,-29.353479472128228,-26.844559302853217,0.0005,-32.31513145200854,-23.829554297090496,0.0005
log,GRU (Qureshi),retrained baseline,0.12150011725995463,0.17136624772166648,-29.099155244797416,129333,141,1115,-80.3938954408259,0.0,-10.242550746266687,1.0156166174976289e-18,-12.812180759211765,2.355425491998793e-25,4,-33.050567726225694,-25.174861690415938,0.0005,-32.78778044179758,-25.804787753381532,0.0005,-30.421435915903885,-27.73887068786152,0.0005,-33.181491459809095,-25.074028274392962,0.0005
log,Transformer (Diamantini),retrained baseline,0.12150011725995463,0.313416959716077,-61.2337132712853,129333,141,1115,-140.32982939549655,0.0,-30.467028185133405,1.2030791891245001e-63,-32.68466614996212,2.1452943443914925e-67,4,-64.21698233904009,-58.080670624460026,0.0005,-63.821146952602376,-58.56956161235147,0.0005,-62.787967872750194,-59.58807124114144,0.0005,-64.75068717847599,-57.7199814919363,0.0005
log,LightGBM (Zeng),retrained baseline,0.12150011725995463,0.1307494254000453,-7.074071730557274,129333,141,1115,-30.116825003733585,0.0,-4.2030593086427075,4.668653147519104e-05,-4.3503873306701015,2.6016102936155086e-05,4,-10.374989366672386,-3.8767122955926783,0.0005,-10.070544691389172,-4.143439487979058,0.0005,-8.078523495034476,-6.024572941491786,0.0005,-10.63482981824978,-3.6124993600311663,0.0005
log,XGBoost (grid Zhao),retrained baseline,0.12150011725995463,0.1308697339043652,-7.159498506551221,129333,141,1115,-29.43958873596794,0.0,-5.235599214894259,5.896406883463519e-07,-5.488910156620431,1.8425490366446894e-07,4,-9.899575027788837,-4.4813728474417704,0.0005,-9.65544892200887,-4.814398238540112,0.0005,-8.317554882799993,-6.09811083178338,0.0005,-10.207254245077612,-4.145497586950294,0.0005
log,XGBoost,internal,0.12150011725995463,0.13139969629381465,-7.533943618655092,129333,141,1115,-31.454899309956257,0.0,-4.916446564257543,2.4322851186590806e-06,-5.183179531022863,7.469894685427449e-07,4,-10.532606831767426,-4.593270992986279,0.0005,-10.299642228369352,-4.929636739015787,0.0005,-8.696909673308351,-6.4394004949227215,0.0005,-10.837416749245476,-4.252610963022404,0.0005
log,AR-LRX [struct_linear],internal,0.12150011725995463,0.129011996648101,-5.822620828539005,129333,141,1115,-39.625055139190756,0.0,-4.114912064176444,6.580402721810393e-05,-3.990385142704309,0.00010594705641976312,4,-7.970900115680928,-3.9410305754186434,0.0005,-7.871288152408682,-3.9708651292028523,0.0005,-6.5539160912588885,-5.084257256953683,0.0005,-7.966610717378923,-3.594153596766464,0.0005
log,"LR-XGB (residual, tanpa gerbang)",internal,0.12150011725995463,0.1324280321250332,-8.25196500296922,129333,141,1115,-31.952517388114686,0.0,-5.629253918684946,9.538760888309302e-08,-5.892818210973313,2.7004912446495268e-08,4,-11.200207288633699,-5.373274982016461,0.0005,-10.942884741013183,-5.76615287766994,0.0005,-9.497492441390987,-7.117164572169239,0.0005,-11.499968817508087,-5.07890102366326,0.0005
log,S1 [structural],internal,0.12150011725995463,0.16074015212427123,-24.412092651237128,129333,141,1115,-94.47121844372604,0.0,-4.607349352982351,9.08447424868229e-06,-4.353186809236004,2.5725229193015785e-05,4,-30.137283485914274,-19.005496337976943,0.0005,-30.05166032270848,-18.899753152103145,0.0005,-25.40700175794132,-23.447284194999494,0.0005,-30.18539669336843,-18.783315899806126,0.0005
log,SeasonalNaive(store x dow x promo median),internal,0.12150011725995463,0.1647940440777392,-26.27153612260482,129333,141,1115,-98.48540786339954,0.0,-4.500246545837363,1.415415661317865e-05,-4.245840339535016,3.945170625077795e-05,4,-32.22425124105516,-20.527724944578388,0.0005,-32.09416115648069,-20.153452947337094,0.0005,-27.196777043602708,-25.36820297209216,0.0005,-32.321408787444604,-20.166767631065884,0.0005
log,AR-LRX-Aug [struct_linear],internal,0.12150011725995463,0.12351559535118066,-1.6317600101392937,129333,141,1115,-13.265804239276935,0.0,-3.3745189628718872,0.0009568981515679585,-3.2401264225408526,0.0014927446976083735,4,-2.4650443037920833,-0.8278411079212495,0.0005,-2.4600967426297475,-0.8322096396553795,0.0005,-2.0780004976663102,-1.189170611530141,0.0005,-2.5404337216788013,-0.5739988530717516,0.002
