config,dataset,stage1,xgb_best_val_r2,xgb_test_r2,other_best_val_r2,other_best_learner,other_best_test_r2,n_learners_val_r2_gt0,n_learners_val_r2_gt_thr,n_learners,val_r2 | XGBoost,test_r2 | XGBoost,val_r2 | LightGBM,test_r2 | LightGBM,val_r2 | RandomForest,test_r2 | RandomForest,val_r2 | kNN,test_r2 | kNN,val_r2 | Ridge,test_r2 | Ridge,val_r2 | MLP,test_r2 | MLP,regime_xgb,agree_at_0,agree_at_thr,agree_on_test_at_thr
pharma|weekly|M01AB|A_lag1,pharma,linear,-0.2503921726089466,-0.0701408892297246,-0.012415847802927,kNN,0.0134794608196541,0,0,6,-0.2503921726089466,-0.0701408892297246,-0.1165109618499242,0.0134794608196541,-0.1331846887326586,-0.0408169306933436,-0.012415847802927,-0.0139327691430766,-0.0136402338406962,-0.0361678337185946,-0.0167514173146237,-0.0285797150596305,noise,True,True,False
pharma|weekly|M01AB|B_rich,pharma,linear,-0.2303714389721964,-0.2131973818833226,-0.0065234748274618,kNN,-0.0134435187011932,0,0,6,-0.2303714389721964,-0.2131973818833226,-0.2371563344188503,-0.1628653340634838,-0.0736771004275074,-0.0497205720519431,-0.0065234748274618,-0.0134435187011932,-0.0169087576030975,-0.0217206407758248,-0.0094015953003432,-0.0297516236337789,noise,True,True,True
pharma|weekly|M01AE|A_lag1,pharma,linear,-0.1159922050104245,-0.0128860402350439,0.0264850424226059,kNN,0.015849256715559,2,1,6,-0.1159922050104245,-0.0128860402350439,-0.0304688125925061,0.015849256715559,-0.0077628878967572,-0.0144222542643916,0.0264850424226059,0.0085861234080916,-0.0084943015053053,-0.003167056379471,0.0014993920976138,0.0051530898709656,noise,False,False,False
pharma|weekly|N02BA|A_lag1,pharma,linear,-1.1573538322034378,-0.7339906483821683,-0.6127268185244328,RandomForest,-0.5131843001475469,0,0,6,-1.1573538322034378,-0.7339906483821683,-0.709593326821554,-0.5131843001475469,-0.6127268185244328,-0.5357514812706023,-0.6784086547132404,-0.6256498728222937,-0.628762121023634,-0.5712922194439547,-0.784981975056084,-0.6428944527624005,noise,True,True,True
pharma|weekly|N02BE|A_lag1,pharma,linear,-0.6747563632010964,0.0759586679121533,0.0170043540203679,kNN,0.0269891660090699,2,2,6,-0.6747563632010964,0.0759586679121533,0.0134338263406276,0.0269891660090699,-0.0114484465838762,0.0091716128292357,0.0170043540203679,0.0253033092394902,-0.0021794888381478,-0.0039776264358371,-0.0014900139286035,-0.0033490221090994,noise,False,False,True
pharma|weekly|N05B|A_lag1,pharma,linear,-0.341410336835678,-0.1261116597586833,-0.0088052676584071,Ridge,-0.0289613333781757,0,0,6,-0.341410336835678,-0.1261116597586833,-0.2412631134849745,-0.1141220886853013,-0.1011389581381865,-0.1502870672628724,-0.0135997243717644,-0.0412253633868968,-0.0088052676584071,-0.0553865749025956,-0.0091396347452143,-0.0289613333781757,noise,True,True,True
pharma|weekly|N05C|A_lag1,pharma,linear,-0.097776491126557,-0.2159959576851888,-0.0385337867588708,LightGBM,-0.0748324304326462,0,0,6,-0.097776491126557,-0.2159959576851888,-0.0385337867588708,-0.2632800507872304,-0.040731740764228,-0.0897448206406998,-0.0396481039977665,-0.1116569622009158,-0.0409763042517081,-0.091974953204716,-0.040102459536597,-0.0748324304326462,noise,True,True,True
pharma|weekly|N05C|B_rich,pharma,linear,0.0146164455972312,-0.2356006749058363,-0.0220167856591595,RandomForest,0.0070424064248061,1,1,6,0.0146164455972312,-0.2356006749058363,-0.0610426048221548,-0.0169023234768352,-0.0220167856591595,0.0070424064248061,-0.033848249869717,-0.0377025615449206,-0.0368850851177791,-0.0429529508847523,-0.0459287218442561,-0.1531735138084937,structured,False,False,True
pharma|weekly|R03|A_lag1,pharma,linear,-0.367194176751151,-0.0198274487570113,-0.0964407473507242,kNN,-0.0356562504920272,0,0,6,-0.367194176751151,-0.0198274487570113,-0.1700424123722979,-0.0912549635249206,-0.1363698668416415,-0.0463531114027806,-0.0964407473507242,-0.0356562504920272,-0.1813991789833,-0.062050869397785,-0.1871196300550681,-0.0734929957705317,noise,True,True,True
pharma|weekly|R06|A_lag1,pharma,linear,-0.4314917954962967,-0.2602974460185301,-0.0269723599814457,RandomForest,0.0196133907734907,0,0,6,-0.4314917954962967,-0.2602974460185301,-0.2828289106095014,0.0196133907734907,-0.0269723599814457,-0.0017640916788757,-0.051794936751444,-0.0232784784170687,-0.0464770911895611,-0.0135957624636555,-0.0467912985437048,-0.0162992901591856,noise,True,True,False
rossmann|V1_customers_dropped|linear,rossmann,linear,0.5872126052508602,0.6563044731787322,0.5189889636143901,LightGBM,0.5623235147175588,5,5,6,0.5872126052508602,0.6563044731787322,0.5189889636143901,0.5623235147175588,0.4769745978210674,0.5147911898180764,0.2944839545514158,0.2923410864193534,-0.0128442560192194,-0.0118395935944568,0.1061549660627647,0.1141666301752194,structured,True,True,True
rossmann|V1_customers_dropped|structural,rossmann,structural,-0.0208683894372456,-0.0524773576198405,-0.02753612197651,MLP,-0.0680074644843808,0,0,6,-0.0208683894372456,-0.0524773576198405,-0.0333683405009039,-0.0680074644843808,-0.0370366672912876,-0.0756051852183021,-0.0427439065772308,-0.093147756375109,-0.0658844433636558,-0.0831935564621777,-0.02753612197651,-0.0758935460012029,noise,True,True,True
rossmann|V1_customers_dropped|struct_linear,rossmann,struct_linear,-0.027830343153494,-0.0352680180486599,-0.0335567925618989,MLP,-0.0689664017537052,0,0,6,-0.027830343153494,-0.0352680180486599,-0.0456810198514452,-0.0689664017537052,-0.0516397369011167,-0.0742219605637435,-0.0503924652241694,-0.0820005414193902,-0.0750155454724752,-0.0884505862633815,-0.0335567925618989,-0.0952150254416495,noise,True,True,True
rossmann|V2_customers_lagged|linear,rossmann,linear,0.5336476374746978,0.7204727378518487,0.4377534816590062,LightGBM,0.5728878712620393,5,5,6,0.5336476374746978,0.7204727378518487,0.4377534816590062,0.5728878712620393,0.3642155223482627,0.4855419483287801,0.2798880292855065,0.3471412736544451,-0.0120676313787437,-0.0340799247636816,0.2716761990427339,0.3610763480038262,structured,True,True,True
rossmann|V2_customers_lagged|structural,rossmann,structural,0.0871931716478299,0.2416432968234382,-0.0259104523946664,RandomForest,0.108566589316481,1,1,6,0.0871931716478299,0.2416432968234382,-0.0309163693057643,0.108566589316481,-0.0259104523946664,0.0977604119432434,-0.0483599613537735,-0.0394985369552414,-0.0620282166099583,-0.0868466976376511,-0.0489500212797027,0.0159541606339816,structured,False,False,True
rossmann|V2_customers_lagged|struct_linear,rossmann,struct_linear,0.0840117736041381,0.2435942792912426,-0.0429008505416519,LightGBM,0.105807845201802,1,1,6,0.0840117736041381,0.2435942792912426,-0.0429008505416519,0.105807845201802,-0.0561326519254745,0.082304839308882,-0.0569521682135552,-0.0375047547491185,-0.0734332159665189,-0.0918647634087932,-0.0885683377800061,0.0628679864565301,structured,False,False,True
rossmann|V3_sales_lagged|linear,rossmann,linear,0.436096186154476,0.7014848288087887,0.3684107556722612,LightGBM,0.5983474864630962,5,5,6,0.436096186154476,0.7014848288087887,0.3684107556722612,0.5983474864630962,0.3397120019703474,0.5670796889526795,0.3002772766506615,0.4371618060566293,-0.001883258498005,-0.0211226700336999,0.3015947557346634,0.5047810573119627,structured,True,True,True
rossmann|V3_sales_lagged|structural,rossmann,structural,0.1165479218633469,0.3038480639122494,0.0116083098828562,MLP,0.1516445518233312,3,3,6,0.1165479218633469,0.3038480639122494,0.0101400429382468,0.1516445518233312,-0.0003910407283602,0.1201144146649292,-0.0186241184382305,-0.0163866049805609,-0.0341827253631468,-0.0813012419486798,0.0116083098828562,0.0692771164747919,structured,True,True,True
rossmann|V3_sales_lagged|struct_linear,rossmann,struct_linear,0.0971566734338155,0.2972376911765494,-0.012467381706811,LightGBM,0.1436209932496434,1,1,6,0.0971566734338155,0.2972376911765494,-0.012467381706811,0.1436209932496434,-0.0390794282454511,0.1052470264072458,-0.042455246400431,-0.0152284034579723,-0.0651510065227043,-0.0890971560967246,-0.0482371289715681,0.0565057794658505,structured,False,False,True
