granularity,category,feature_set,reference,DM,p,identical_predictions,win,sig_win,sig_loss
weekly,N02BE,B_rich,"LR-XGB (residual, tanpa gerbang)",1.1231994580017237,0.26730954601172274,False,False,False,False
weekly,N05B,A_lag1,Naive,-3.4315670023968923,0.001297057903229426,False,True,True,False
weekly,N05B,A_lag1,S1 [linear],,,True,False,False,False
weekly,N05B,A_lag1,XGBoost,-0.9551756150120971,0.3445921921680908,False,True,False,False
weekly,N05B,A_lag1,"LR-XGB (residual, tanpa gerbang)",-0.9352870063323062,0.354632576742302,False,True,False,False
weekly,N05B,B_rich,Naive,-3.4315670023968923,0.001297057903229426,False,True,True,False
weekly,N05B,B_rich,S1 [linear],,,True,False,False,False
weekly,N05B,B_rich,XGBoost,-0.9551756150120971,0.3445921921680908,False,True,False,False
weekly,N05B,B_rich,"LR-XGB (residual, tanpa gerbang)",-0.9352870063323062,0.354632576742302,False,True,False,False
weekly,N05C,A_lag1,Naive,-3.4775445648622805,0.0011517874701723052,False,True,True,False
weekly,N05C,A_lag1,S1 [linear],,,True,False,False,False
weekly,N05C,A_lag1,XGBoost,-1.6360882380010004,0.10895544422496073,False,True,False,False
weekly,N05C,A_lag1,"LR-XGB (residual, tanpa gerbang)",-1.7451567923656983,0.08793866893361368,False,True,False,False
weekly,N05C,B_rich,Naive,-3.0151410651233594,0.004253859461118559,False,True,True,False
weekly,N05C,B_rich,S1 [linear],1.0083125281499814,0.3188175145154952,False,False,False,False
weekly,N05C,B_rich,XGBoost,1.4239312947702394,0.16151981924589354,False,False,False,False
weekly,N05C,B_rich,"LR-XGB (residual, tanpa gerbang)",-2.364388315864655,0.022537413524101213,False,True,True,False
weekly,R03,A_lag1,Naive,-0.8047085005164966,0.42521917226047456,False,True,False,False
weekly,R03,A_lag1,S1 [linear],,,True,False,False,False
weekly,R03,A_lag1,XGBoost,-0.017879682464833086,0.9858138789484927,False,True,False,False
weekly,R03,A_lag1,"LR-XGB (residual, tanpa gerbang)",0.9180806905722175,0.36347137693345966,False,False,False,False
weekly,R03,B_rich,Naive,-0.8047085005164966,0.42521917226047456,False,True,False,False
weekly,R03,B_rich,S1 [linear],,,True,False,False,False
weekly,R03,B_rich,XGBoost,-0.017879682464833086,0.9858138789484927,False,True,False,False
weekly,R03,B_rich,"LR-XGB (residual, tanpa gerbang)",0.9180806905722175,0.36347137693345966,False,False,False,False
weekly,R06,A_lag1,Naive,-0.7629888684260723,0.44945150545185486,False,True,False,False
weekly,R06,A_lag1,S1 [linear],,,True,False,False,False
weekly,R06,A_lag1,XGBoost,-1.4305404695260513,0.15946959371064517,False,True,False,False
weekly,R06,A_lag1,"LR-XGB (residual, tanpa gerbang)",-1.4437263203714883,0.15574227395466278,False,True,False,False
weekly,R06,B_rich,Naive,-0.7629888684260723,0.44945150545185486,False,True,False,False
weekly,R06,B_rich,S1 [linear],,,True,False,False,False
weekly,R06,B_rich,XGBoost,-1.4305404695260513,0.15946959371064517,False,True,False,False
weekly,R06,B_rich,"LR-XGB (residual, tanpa gerbang)",-1.4437263203714883,0.15574227395466278,False,True,False,False
