granularity,category,feature_set,model,gate_w,resid_val_r2,gate_val_gain_pct,stage1_val_RMSE,test_RMSE,stage1_only_test_RMSE
weekly,N05C,A_lag1,AR-LRX [linear],0.1,-0.07086155479255973,0.0162,4.083477623642329,2.9647903047137323,2.95509794238098
weekly,N05C,A_lag1,AR-LRX-g [linear],0.1,-0.07086155479255973,0.0162,4.083477623642329,2.9647903048524644,2.95509794238098
weekly,N05C,A_lag1,AR-LRX-Aug [linear],0.1,-0.07086155479255973,0.0162,4.083477623642329,2.9647903048524644,2.95509794238098
weekly,N05C,B_rich,AR-LRX [linear],0.5,-0.0180151712217671,2.6209,4.202335885999001,3.0082792059725803,2.941011440978122
weekly,N05C,B_rich,AR-LRX-g [linear],0.6,-0.0032727331726543074,2.4241,4.202335885999001,2.9820735640597813,2.941011440978122
weekly,N05C,B_rich,AR-LRX-Aug [linear],1.0,0.04449239376858416,3.678,4.202335885999001,3.066140840142979,2.941011440978122
weekly,R03,A_lag1,AR-LRX [linear],0.0,-0.37894239350369174,0.0,23.49623900731871,26.71174291434975,26.71174291434975
weekly,R03,A_lag1,AR-LRX-g [linear],0.0,-0.37894239350369174,0.0,23.49623900731871,26.71174291434975,26.71174291434975
weekly,R03,A_lag1,AR-LRX-Aug [linear],0.0,-0.37894239350369174,0.0,23.49623900731871,26.71174291434975,26.71174291434975
weekly,R03,B_rich,AR-LRX [linear],0.0,-0.37894239350369174,0.0,23.49623900731871,26.71174291434975,26.71174291434975
weekly,R03,B_rich,AR-LRX-g [linear],0.0,-0.37894239350369174,0.0,23.49623900731871,26.71174291434975,26.71174291434975
weekly,R03,B_rich,AR-LRX-Aug [linear],0.0,-0.37894239350369174,0.0,23.49623900731871,26.71174291434975,26.71174291434975
weekly,R06,A_lag1,AR-LRX [linear],0.0,-0.39439144046420616,0.0,8.329513000259617,8.927137273402836,8.927137273402836
weekly,R06,A_lag1,AR-LRX-g [linear],0.0,-0.39439144046420616,0.0,8.329513000259617,8.927137273402836,8.927137273402836
weekly,R06,A_lag1,AR-LRX-Aug [linear],0.0,-0.39439144046420616,0.0,8.329513000259617,8.927137273402836,8.927137273402836
weekly,R06,B_rich,AR-LRX [linear],0.0,-0.39439144046420616,0.0,8.329513000259617,8.927137273402836,8.927137273402836
weekly,R06,B_rich,AR-LRX-g [linear],0.0,-0.39439144046420616,0.0,8.329513000259617,8.927137273402836,8.927137273402836
weekly,R06,B_rich,AR-LRX-Aug [linear],0.0,-0.39439144046420616,0.0,8.329513000259617,8.927137273402836,8.927137273402836
